"prob";"ind";"l_rate";"temperature";"correct";"sampling";"n_flowers"
0.3;1;0.05;0.0125;1;0;1
0.3;1;0.05;0.025;0.997506234413965;0.00249376558603487;2
0.3;1;0.05;0.05;0.845386533665835;0.154613466334165;12
0.3;1;0.05;0.1;0.71072319201995;0.28927680798005;12
0.3;1;0.1;0.0125;1;0;1
0.3;1;0.1;0.025;0.997506234413965;0.00249376558603487;2
0.3;1;0.1;0.05;0.897755610972569;0.102244389027431;12
0.3;1;0.1;0.1;0.755610972568579;0.244389027431421;12
0.3;1;0.2;0.0125;0.982543640897756;0.0174563591022444;5
0.3;1;0.2;0.025;0.86783042394015;0.13216957605985;12
0.3;1;0.2;0.05;0.832917705735661;0.167082294264339;12
0.3;1;0.2;0.1;0.650872817955112;0.349127182044888;12
0.3;1;0.3;0.0125;0.985037406483791;0.0149625935162094;6
0.3;1;0.3;0.025;0.84788029925187;0.15211970074813;12
0.3;1;0.3;0.05;0.58354114713217;0.41645885286783;12
0.3;1;0.3;0.1;0.503740648379052;0.496259351620948;12
0.3;1;0.4;0.0125;0.71072319201995;0.28927680798005;12
0.3;1;0.4;0.025;0.72069825436409;0.27930174563591;12
0.3;1;0.4;0.05;0.600997506234414;0.399002493765586;12
0.3;1;0.4;0.1;0.346633416458853;0.653366583541147;12
0.3;1;0.5;0.0125;0.536159600997506;0.463840399002494;12
0.3;1;0.5;0.025;0.648379052369077;0.351620947630923;12
0.3;1;0.5;0.05;0.518703241895262;0.481296758104738;12
0.3;1;0.5;0.1;0.386533665835411;0.613466334164589;12
0.3;2;0.05;0.0125;1;0;1
0.3;2;0.05;0.025;1;0;1
0.3;2;0.05;0.05;0.932668329177057;0.0673316708229427;12
0.3;2;0.05;0.1;0.690773067331671;0.309226932668329;12
0.3;2;0.1;0.0125;1;0;1
0.3;2;0.1;0.025;0.977556109725686;0.0224438902743143;7
0.3;2;0.1;0.05;0.952618453865337;0.0473815461346634;11
0.3;2;0.1;0.1;0.623441396508728;0.376558603491272;12
0.3;2;0.2;0.0125;0.970074812967581;0.029925187032419;9
0.3;2;0.2;0.025;0.930174563591022;0.0698254364089775;11
0.3;2;0.2;0.05;0.683291770573566;0.316708229426434;12
0.3;2;0.2;0.1;0.685785536159601;0.314214463840399;12
0.3;2;0.3;0.0125;0.830423940149626;0.169576059850374;12
0.3;2;0.3;0.025;0.86284289276808;0.13715710723192;12
0.3;2;0.3;0.05;0.748129675810474;0.251870324189526;12
0.3;2;0.3;0.1;0.381546134663342;0.618453865336658;12
0.3;2;0.4;0.0125;0.793017456359102;0.206982543640898;12
0.3;2;0.4;0.025;0.633416458852868;0.366583541147132;12
0.3;2;0.4;0.05;0.635910224438903;0.364089775561097;12
0.3;2;0.4;0.1;0.528678304239402;0.471321695760598;12
0.3;2;0.5;0.0125;0.638403990024938;0.361596009975062;12
0.3;2;0.5;0.025;0.635910224438903;0.364089775561097;12
0.3;2;0.5;0.05;0.406483790523691;0.593516209476309;12
0.3;2;0.5;0.1;0.401496259351621;0.598503740648379;12
0.3;3;0.05;0.0125;1;0;1
0.3;3;0.05;0.025;0.997506234413965;0.00249376558603487;2
0.3;3;0.05;0.05;0.892768079800499;0.107231920199501;12
0.3;3;0.05;0.1;0.795511221945137;0.204488778054863;12
0.3;3;0.1;0.0125;1;0;1
0.3;3;0.1;0.025;0.99501246882793;0.00498753117206985;3
